item_density,num_anti_agents,repetition_id,biggest_cluster_size
0.05,0,1,2
0.05,0,2,8
0.05,5,1,4
0.05,5,2,3
0.05,10,1,1
0.05,10,2,1
0.05,15,1,2
0.05,15,2,2
0.05,20,1,2
0.05,20,2,5
0.05,25,1,2
0.05,25,2,3
0.05,30,1,3
0.05,30,2,2
0.05,40,1,1
0.05,40,2,1
0.05,50,1,1
0.05,50,2,6
0.1,0,1,8
0.1,0,2,10
0.1,5,1,7
0.1,5,2,5
0.1,10,1,6
0.1,10,2,5
0.1,15,1,4
0.1,15,2,3
0.1,20,1,4
0.1,20,2,2
0.1,25,1,5
0.1,25,2,4
0.1,30,1,3
0.1,30,2,3
0.1,40,1,3
0.1,40,2,5
0.1,50,1,4
0.1,50,2,2
0.2,0,1,11
0.2,0,2,10
0.2,5,1,6
0.2,5,2,6
0.2,10,1,9
0.2,10,2,8
0.2,15,1,5
0.2,15,2,7
0.2,20,1,7
0.2,20,2,8
0.2,25,1,4
0.2,25,2,4
0.2,30,1,9
0.2,30,2,5
0.2,40,1,4
0.2,40,2,4
0.2,50,1,6
0.2,50,2,5
